Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
Common Food,lobster,3 oz ( 85g ),121.5,9,1.6,0.3,,76.5,192.9,2.6,0,,22.45,1.7,3,4.9,8.6
Common Food,lobster roll,1 sandwich ( 254g ),506.6,189,21.6,3.5,0.0422,135.1,937.4,33,2.03,1.09,42.14,29.6,11.9,13.3,27
Common Food,lobster tail,3 oz ( 85g ),121.5,9,1.6,0.3,,76.5,192.9,2.6,0,,22.45,1.7,3,4.9,8.6
Common Food,locro,1 bowl (2 cups) ( 476g ),419.9,189,21.4,4.8,0.0359,46.8,831.8,37.9,9.19,4.63,19.67,43.1,8.4,7.1,23.5
Common Food,lofthouse cookies iced sugar cookies,1 cookie ( 40g ),170,54,6,3,0,10,115,26,0,15,1,20,0,0,5.1
Common Food,london broil,4 oz ( 113.4g ),338.2,189,21.6,8.4,0.0115,132,183.7,0.3,0.04,0.12,33.33,0.3,0.1,1.9,20.2
Common Food,long john silvers battered cod,1 piece ( 85g ),190,99,11,1,0,40,560,9,1,0,15,,,,
Common Food,long john silvers chicken tenders,1 piece ( 59g ),150,63,7,1,0,20,570,11,1,0,10,,,,
Common Food,long john silvers fries,1 Individual ( 105g ),350,153,17,3,0,0,500,44,4,0,4,,,,
Common Food,long john silvers hushpuppy,2 pups ( 48g ),150,63,7,1,0,0,510,19,1,1,3,,,,
Common Food,longhorn bread,0.5 loaf ( 106.3g ),283.8,27,3.4,0.8,0.0276,0,540,51.8,4.25,6.28,11.4,0.2,0.4,12.9,26.5
Common Food,longhorn steakhouse mixed green side salad,1 Serving ( 115.14g ),100,36,4.5,1.5,0,5,170,12,2,4,4,,,,
Common Food,longhorn steakhouse side salads mixed green salad,1 salad ( 115.14g ),100,36,4.5,1.5,0,5,170,12,2,4,4,,,,
Common Food,lorna doone,1 cookie ( 6.88g ),35.3,9,1.8,0.6,0.0491,0,24.3,4.4,0.09,1.49,0.37,0,0,0.1,1.5
Common Food,lotus,0.5 cup ( 60g ),39.6,0,0,0,0,0,27,9.6,1.86,0.3,0.95,0,27.4,1.4,3.9
Common Food,love beets cooked beets,0.75 cup ( 95g ),30,0,0,0,0,0,84,10,2,6,1,0,0,0,0
Common Food,low carb tortilla,1 tortilla ( 34.35g ),80.9,0,0.8,0.2,,0,137.5,13.4,2.79,1.35,6.98,0.1,0.2,3.2,8.7
Common Food,low carb wrap,1 tortilla ( 34.35g ),80.9,0,0.8,0.2,,0,137.5,13.4,2.79,1.35,6.98,0.1,0.2,3.2,8.7
Common Food,low fat cheddar,1 oz ( 28.35g ),49,9,2,1.2,,6,247.5,0.5,0,0.15,6.9,5.9,0,10.7,0.9
Common Food,low fat cheese,1 oz ( 28.35g ),49,9,2,1.2,,6,247.5,0.5,0,0.15,6.9,5.9,0,10.7,0.9
Common Food,low fat cheese stick,1 piece ( 24g ),53,18,2.4,1.4,0.0851,10,171,1.2,0.22,0.45,6.75,15.9,0,18.3,0.5
Common Food,low fat cottage cheese,4 oz ( 113g ),81.4,9,1.1,0.7,,4.5,458.8,3.1,0,3.07,14,4.6,0,6.3,1.1
Common Food,low fat mexican cheese,1 oz ( 28.35g ),80,45,5.5,3.3,,17.6,220,1,0,0.16,7,16.6,0,29.5,0.3
Common Food,low fat milk,1 cup ( 244g ),102.5,18,2.4,1.5,,12.2,107.4,12.2,0,12.69,8.22,47.8,0,27.7,0.5
Common Food,low fat string cheese,1 piece ( 24g ),53,18,2.4,1.4,0.0851,10,171,1.2,0.22,0.45,6.75,15.9,0,18.3,0.5
Common Food,low fat vanilla yogurt,1 container (6 oz) ( 170g ),144.5,18,2.1,1.4,,8.5,112.2,23.5,0,23.46,8.38,7.3,2.3,26.4,0.8
Common Food,low fat yogurt,1 container (6 oz) ( 170g ),168.3,9,2,1.3,,8.5,90.1,31.7,0,31.69,6.77,6.8,1.7,21.3,0.7
Common Food,lowfat cream cheese,2 tbsp ( 30g ),60.3,36,4.6,2.7,,16.2,107.7,2.4,0,1.75,2.36,16.6,0,4,0.4
Common Food,lowfat mexican cheese,1 oz ( 28.35g ),80,45,5.5,3.3,,17.6,220,1,0,0.16,7,16.6,0,29.5,0.3
Common Food,lowfat mexican cheese blend,1 oz ( 28.35g ),80,45,5.5,3.3,,17.6,220,1,0,0.16,7,16.6,0,29.5,0.3
Common Food,lowfat milk,1 cup ( 244g ),102.5,18,2.4,1.5,,12.2,107.4,12.2,0,12.69,8.22,47.8,0,27.7,0.5
Common Food,lox,3 oz ( 85g ),99.5,27,3.7,0.8,,19.6,1700,0,0,,15.54,7.5,0,0.8,5.2
Common Food,lubys hibachi rice,1 cup ( 143.68g ),250,0,0,,,,,,1,,,,,,
Common Food,lubys skillet fried cabbage,1 cup ( 90.01g ),70,0,0,,,,,,4,,,,,,
Common Food,lucerne colby jack cheese sticks,1 stick ( 23g ),90,72,8,4,0,25,140,1,0,0,6,20,0,13.6,0
Common Food,lucerne skim milk,1 cup ( 264.71g ),90,0,0,0,0,0,140,12,0,11,9,50,8,27.3,0
Common Food,lucky charms,1 cup ( 36g ),136.8,9,1.8,0.3,0.0047,0,233.3,29.1,1.8,13.01,2.76,101.6,16,14.2,57.3
Common Food,lucozade,8 fl oz ( 244g ),63.4,0,0,0,0,0,95.2,15.7,0,12.79,0,0,1.6,0.2,0.9
Common Food,lumpia,1 roll ( 64g ),150.4,63,8,2.3,0.0995,40.9,386.4,9.5,0.62,0.43,9.63,16.7,8.5,1.9,8.6
Common Food,luna bar,1 bar ( 48g ),190,72,8,2.5,0,0,210,22,3,11,9,100,20,31.8,38.6
Common Food,luna chocolate salted caramel high protein bar,1 bar ( 45g ),180,45,5,3,0,2.5,270,21,2,15,12,0,0,3.6,19.3
Common Food,luna lemon zest nutrition bar,1 bar ( 48g ),190,54,6,2.5,0,0,85,28,3,9,8,0,0,7.3,7.7
Common Food,luna protein bar cookie dough,1 bar ( 45g ),180,54,6,3.5,0,2.5,260,21,2,14,12,0,0,3.6,19.3
Common Food,lunch mate roast beef,2 oz ( 56g ),60,18,2,1,0,30,560,0,0,10,,,,,7.7
Common Food,lunch meat,1 slice ( 23g ),23,0,0.8,0.1,0.0037,9.4,294.2,0.1,0,0,3.89,0,0,0.1,1
Common Food,lunchable,1 serving ( 83.15g ),276.8,144,16.6,7,0.6115,44.5,756.2,19.3,0.72,3.36,12.56,28.4,4.7,21.5,13.2
Common Food,lunchables,1 serving ( 83.15g ),276.8,144,16.6,7,0.6115,44.5,756.2,19.3,0.72,3.36,12.56,28.4,4.7,21.5,13.2
Common Food,lunchables ham and cheddar cracker stackers,1 package ( 105.14g ),350,153,17,7,0.5,30,660,39,0.5,13,11,20,15,13.6,12.9
Common Food,lunchables nacho cheese dip and salsa,1 package ( 125g ),360,171,19,3.5,0,10,850,41,4,4,6,75,15,18.2,7.7
Common Food,lunchables pizza with pepperoni,1 package ( 122.05g ),310,135,15,6,0,35,730,31,3,5,14,50,15,18.2,12.9
Common Food,lunchables turkey and cheddar with crackers,1 package ( 90g ),260,117,13,7,0,40,670,22,0.5,5,12,30,0,13.6,10.3
Common Food,lunchmeat,1 slice ( 23g ),23,0,0.8,0.1,0.0037,9.4,294.2,0.1,0,0,3.89,0,0,0.1,1
Common Food,lundberg brown rice organic rice cakes lightly salted,1 cake ( 19g ),60,0,0.5,0,0,0,35,14,1,0,1,0,0,0,2.6
Common Food,m and m,1 package (1.69 oz) ( 48g ),236.2,90,10.1,6.3,0.0802,6.7,29.3,34.2,1.34,30.57,2.08,9,0.4,4.6,3.8
Common Food,m and ms,1 package (1.69 oz) ( 48g ),236.2,90,10.1,6.3,0.0802,6.7,29.3,34.2,1.34,30.57,2.08,9,0.4,4.6,3.8
Common Food,m and m cookie,"1 medium (3"" diameter) ( 30.18g )",140.6,54,6.8,3,0.0133,12.6,95.7,18.5,0.41,12.26,1.4,2.7,0.1,1.3,3.6
Common Food,m and ms,1 package (1.69 oz) ( 48g ),236.2,90,10.1,6.3,0.0802,6.7,29.3,34.2,1.34,30.57,2.08,9,0.4,4.6,3.8
Common Food,mac and cheese,1 cup ( 198g ),376.2,144,16.4,3.6,2.4631,5.9,669.2,47.4,2.38,8.45,9.68,,,11.3,14
Common Food,mac and cheese burger,1 burger ( 395g ),980.2,513,57.6,25.2,3.2103,194.3,1592,58.4,3.66,10.25,56.6,99.7,3.6,45.7,48.8
Common Food,mac and cheese side,1 cup ( 234.22g ),461.1,207,23.4,13,0.6031,81.8,426.1,41.9,2.21,3.99,19.99,83.1,0,36.8,13
Common Food,mac n cheese,1 cup ( 198g ),376.2,144,16.4,3.6,2.4631,5.9,669.2,47.4,2.38,8.45,9.68,,,11.3,14
Common Food,maca,1 tsp ( 5g ),17.9,0,0,0,0,0,2.8,4.2,0.3,0.18,0.35,0,0.3,0.3,0.5
Common Food,macadamia,1 oz (10-12 kernels) ( 28.35g ),203.6,189,21.5,3.4,,0,1.4,3.9,2.44,1.3,2.24,0,0.6,2.2,7.5
Common Food,macadamia nuts,1 oz (10-12 kernels) ( 28.35g ),203.6,189,21.5,3.4,,0,1.4,3.9,2.44,1.3,2.24,0,0.6,2.2,7.5
